"*Chlorophyta-Picochlorum" 1.000 1.000 0.399 1.000 1.000 0.217 0.000 0.000 0.154 0.000 0.460 0.057 1.000 0.014 0.209 1.000 0.007 0.262 0.005 0.996 1.000 0.062 0.248 0.873 1.000 0.098 1.000 0.116 0.004 0.023 0.601 0.192 1.000 0.405 0.114 1.000 1.000 0.047 0.187 0.277 0.163 1.000 1.000 0.299 0.028 0.037 0.052 1.000 1.000 0.072 0.116 1.000 1.000 1.000 0.266 0.005 0.523 0.080 0.000 0.333 0.417 0.772 0.016 1.000
"*Ciliophora-Tetrahymena_borealis" 0.000 1.000 1.000 0.010 0.000 0.000 0.000 0.000 1.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.450 0.600 0.000 0.000 0.000 0.000 0.000 1.000 0.000 1.000 0.000 1.000 0.000 0.015 0.000 0.000 0.000 1.000 1.000 0.000 1.000 1.000 0.000 0.004 0.000 1.000 0.000 1.000 0.829 0.000 0.000 0.000
"Ciliophora-Ichthyophthirius_multifiliis" 1.000 1.000 0.030 0.100 1.000 0.000 0.000 1.000 0.013 0.000 0.050 1.000 0.000 0.300 0.000 0.382 0.043 0.044 0.022 0.015 0.000 0.000 1.000 1.000 1.000 0.031 1.000 0.014 0.000 0.000 0.765 0.000 0.011 1.000 0.000 0.000 0.000 0.033 0.000 1.000 0.176 1.000 0.000 1.000 0.012 0.003 0.197 0.000 0.000 0.050 1.000 1.000 1.000 1.000 0.000 0.000 1.000 0.043 0.000 1.000 1.000 0.000 0.000 1.000
"Cryptophyta-Cryptomonas_Paramecium" 1.000 1.000 0.000 1.000 1.000 0.000 0.000 0.000 0.167 0.071 0.000 1.000 0.583 0.000 0.167 1.000 1.000 0.000 0.000 0.000 0.000 0.000 1.000 1.000 1.000 0.500 0.000 0.111 0.000 0.417 1.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 1.000 0.250 1.000 0.000 1.000 0.000 0.065 0.636 0.000 0.000 0.000 1.000 0.000 1.000 1.000 0.000 0.167 0.000 1.000 0.000 1.000 0.000 0.000 0.000 1.000
"*Chlorophyta-Chlorella_vulgaris" 0.004 0.008 0.009 0.029 0.763 1.000 1.000 0.000 1.000 1.000 0.044 0.000 0.002 0.108 0.005 0.463 0.002 1.000 0.052 0.993 1.000 0.029 0.002 0.227 0.169 0.001 0.048 0.003 1.000 0.027 0.131 0.430 0.217 0.013 1.000 1.000 0.429 1.000 0.321 0.003 1.000 1.000 1.000 0.000 1.000 1.000 0.005 0.073 1.000 1.000 0.000 0.031 0.000 0.306 1.000 0.000 0.010 1.000 0.000 0.001 0.034 0.042 1.000 1.000
"Bacillariophyta-Phaeodactylum_tricornutum" 0.000 1.000 0.316 0.011 1.000 1.000 0.000 0.000 1.000 0.744 0.468 0.009 0.559 1.000 0.038 0.061 0.051 1.000 1.000 0.109 0.159 0.234 0.059 0.082 0.485 0.004 0.059 0.176 1.000 1.000 0.004 0.291 0.203 0.704 1.000 0.221 0.424 1.000 0.048 1.000 1.000 1.000 1.000 0.699 0.426 1.000 0.030 0.010 0.634 0.234 0.013 0.042 0.141 1.000 0.141 0.048 0.018 1.000 0.000 1.000 0.223 0.005 1.000 1.000
"Chlorophyta-Chlamydomonas_reinhardtii" 0.000 0.000 0.012 0.000 0.000 0.000 0.000 0.000 1.000 1.000 0.000 0.000 0.000 0.583 0.000 0.000 0.000 1.000 0.000 0.208 1.000 0.000 0.023 0.042 0.029 0.000 0.316 0.000 1.000 0.027 0.000 0.021 0.000 0.000 1.000 1.000 0.000 1.000 0.000 0.000 1.000 1.000 1.000 0.000 1.000 1.000 0.000 0.000 1.000 1.000 0.000 0.000 0.000 0.167 1.000 0.000 0.043 1.000 0.000 0.000 0.000 0.000 1.000 1.000
"Chlorophyta-Monoraphidium_neglectum" 0.000 0.000 1.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.083 0.000 0.200 0.000 0.000 0.714 0.000 0.000 0.000 1.000 1.000 0.023 0.000 0.429 1.000 0.100 0.083 0.046 0.032 0.000 0.000 1.000 1.000 0.500 0.500 1.000 1.000 0.500 1.000 0.026 0.000 0.000 1.000 0.111 0.000 0.000 1.000 0.014 1.000 1.000 0.000 1.000 0.000 0.000 1.000 0.000 0.000 0.857 0.000 0.000 0.000 0.208 0.208 1.000
"Rhodophyta-Chondrus_crispus" 0.015 0.021 0.011 0.010 0.111 1.000 0.000 0.000 1.000 1.000 0.949 0.001 0.021 1.000 0.005 0.054 0.002 1.000 1.000 0.183 0.152 0.016 0.025 0.022 0.054 0.038 0.006 0.002 1.000 1.000 0.010 0.006 0.046 0.020 1.000 1.000 0.386 1.000 1.000 0.089 1.000 1.000 1.000 0.004 1.000 1.000 0.004 0.026 1.000 0.482 0.003 0.034 0.023 0.008 0.657 0.006 0.050 1.000 0.000 0.075 0.002 0.008 0.531 1.000
"*Ciliophora-Paramecium_biaurelia" 1.000 1.000 0.000 0.019 1.000 0.079 0.000 0.000 0.034 0.023 0.000 1.000 0.400 0.000 1.000 0.980 0.789 0.028 0.053 0.002 0.105 0.004 1.000 1.000 1.000 0.039 0.118 0.006 0.000 0.017 0.707 0.000 0.000 1.000 0.000 0.002 0.000 0.005 0.000 1.000 0.084 1.000 0.066 1.000 0.000 0.004 0.414 0.000 0.189 0.000 1.000 1.000 1.000 1.000 0.000 0.011 1.000 0.000 0.000 1.000 0.023 1.000 0.000 1.000
